mq_ra,mq_dec,mq_name,mq_z,mq_cite
15.694087,0.565449,SDSS J010246.58+003355.6,1.8330000000000002,DR14Q
15.697884699999998,1.0645243999999998,SDSS J010247.49+010352.2,0.17300000000000001,DR14Q
15.701023600000001,-0.9528882,SDSS J010248.24-005710.3,1.305,DR14Q
15.701402999999999,-0.1670527,SDSS J010248.33-001001.3,0.41700000000000004,DR14
15.7042609,-1.095801,SDSS J010249.02-010544.8,1.037,DR14Q
15.707309299999999,0.510893,SDSS J010249.75+003039.2,1.835,DR14Q
15.710505,-0.7790479,SDSS J010250.52-004644.5,2.872,DR14Q
15.7127532,0.1469184,SDSS J010251.06+000848.9,1.395,DR14Q
15.7152828,0.4612052,SDSS J010251.66+002740.3,1.98,DR14Q
15.7178221,-0.701232,DMS 0100.3-0058,1.169,0759
15.7186813,-0.9774729,SDSS J010252.48-005838.9,3.057,DR14Q
15.720947599999999,-0.33241079999999995,SDSS J010253.02-001956.6,1.19,DR14Q
15.72166,-0.746798,2SLAQ J010253.19-004448.4,0.489,2SLAQ
15.726908100000001,0.8880536,SDSS J010254.45+005316.9,1.2670000000000001,DR14Q
15.728832999999998,0.30741999999999997,SDSS J010254.91+001826.7,0.486,DR14
15.7316065,-1.1413109,SDSS J010255.58-010828.7,1.051,DR14Q
15.733207,0.1933011,SDSS J010255.96+001135.8,0.33299999999999996,DR14
15.735645199999999,0.5012844,SDSS J010256.55+003004.6,3.108,DR14Q
15.737760699999999,-0.11562460000000001,2SLAQ J010257.06-000656.1,2.1590000000000003,2SLAQ
15.7385229,-0.9240181999999999,SDSS J010257.24-005526.4,1.76,DR14Q
15.738555100000001,-0.7510576,SDSS J010257.25-004503.8,3.2039999999999997,DR14Q
15.741320000000002,-0.2454312,2SLAQ J010257.92-001443.5,1.886,2SLAQ
15.742497199999997,0.6815566,SDSS J010258.19+004053.6,1.675,DR14Q
15.742830599999998,-1.0867098999999998,SDSS J010258.27-010512.1,1.749,DR14Q
15.743264199999999,0.6348159999999999,SDSS J010258.38+003805.3,2.094,DR14Q
15.743667499999999,-0.8122153,SDSS J010258.48-004843.9,2.1,DR14Q
15.747073199999999,0.7896616999999999,SDSS J010259.29+004722.7,1.9,DR14Q
15.7484,0.4429987,SDSS J010259.61+002634.7,0.687,DR14Q
15.753072,-0.1489891,SDSS J010300.73-000856.3,2.186,DR14Q
15.753546599999998,0.0107044,2SLAQ J010300.85+000038.5,2.6239999999999997,2SLAQ
15.7547119,-0.7352926,2SLAQ J010301.12-004407.0,1.17,2SLAQ
15.754719099999999,-0.5891791000000001,SDSS J010301.13-003521.0,0.975,DR14Q
15.7590532,0.9198898000000001,SDSS J010302.17+005511.6,1.6909999999999998,DR14Q
15.762591699999998,0.8114318,SDSS J010303.02+004841.1,1.839,DR14Q
15.764316399999998,1.1754267,SDSS J010303.43+011031.5,1.6880000000000002,DR14Q
15.7721202,1.138164,SDSS J010305.30+010817.3,1.14,DR14Q
15.774138800000001,0.7570747,SDSS J010305.79+004525.4,1.325,DR14Q
15.774524,-0.774094,2SLAQ J010305.88-004626.7,0.6970000000000001,2SLAQ
15.775375400000001,0.7935312,SDSS J010306.09+004736.7,1.97,DR14Q
15.779053699999999,0.781504,SDSS J010306.97+004653.4,0.998,DR14Q
15.7811717,0.6274835999999999,2SLAQ J010307.48+003738.9,2.092,2SLAQ
15.783223499999998,1.2352902,SDSS J010307.97+011407.0,2.928,DR14Q
15.787070800000002,0.043597699999999996,2SLAQ J010308.90+000237.0,2.459,2SLAQ
15.7893905,0.4672958,SDSS J010309.45+002802.2,0.893,DR14Q
15.791556699999997,0.2826347,SDSS J010309.97+001657.4,1.528,DR14Q
15.7925737,0.4306099,SDSS J010310.21+002550.1,2.7569999999999997,DR14Q
15.793006400000001,0.8244116,SDSS J010310.32+004927.8,1.805,DR14Q
15.7951928,0.2177117,SDSS J010310.84+001303.7,2.695,DR14Q
15.7958654,-0.1241193,SDSS J010311.00-000726.8,2.164,DR14Q
15.797213399999999,-0.2155278,2SLAQ J010311.33-001255.9,1.345,2SLAQ
15.7985475,-0.6941162,DMS 0100-0057,0.754,0759
15.803578400000001,0.455058,SDSS J010312.85+002718.2,1.494,DR14Q
15.805701000000001,0.7425279,SDSS J010313.36+004433.1,0.628,DR14
15.8062,0.516946,2SLAQ J010313.48+003101.0,0.5660000000000001,2SLAQ
15.808735999999998,0.8507744,SDSS J010314.09+005102.7,1.104,DR14Q
15.8123522,-0.28319570000000005,SDSS J010314.96-001659.5,2.67,DR14Q
15.8138018,0.3764485,SDSS J010315.31+002235.2,2.173,DR14Q
15.8153842,0.5900489000000001,SDSS J010315.69+003524.1,2.07,DR14Q
15.816529999999998,0.48763199999999995,SDSS J010315.96+002915.4,0.20199999999999999,DR14
15.817976000000002,0.44505429999999996,SDSS J010316.31+002642.1,1.158,DR14
15.8199533,1.2328256000000002,SDSS J010316.78+011358.1,1.61,DR14Q
15.821392000000001,-0.984489,2SLAQ J010317.13-005904.1,0.28300000000000003,2SLAQ
15.826360999999999,-0.6782305999999999,SDSS J010318.32-004041.6,1.1740000000000002,DR14Q
15.828602800000002,1.228585,SDSS J010318.86+011342.9,1.604,DR14Q
15.828617999999999,-0.329842,2SLAQ J010318.86-001947.4,0.425,2SLAQ
15.8304655,-0.3159329,SDSS J010319.31-001857.3,1.047,DR14Q
15.830855499999998,-1.1067109,SDSS J010319.40-010624.1,1.271,DR14Q
15.831899900000002,-0.2453196,SDSS J010319.65-001443.1,1.473,DR14Q
15.8320986,-1.1601596,SDSS J010319.70-010936.5,0.941,DR14Q
15.8325424,0.7601296999999999,SDSS J010319.81+004536.4,1.035,DR14Q
15.8365858,0.1689378,SDSS J010320.78+001008.1,1.258,DR14Q
15.837639499999998,0.4067142,SDSS J010321.03+002424.1,1.402,DR14Q
15.837707,0.3420869,2SLAQ J010321.03+002031.4,2.089,2SLAQ
15.8383218,-0.002049,SDSS J010321.19-000007.3,2.023,DR14Q
15.840674,-0.40027399999999996,FBQS J0103-0024,1.32,DR7Q
15.843903,-0.0777123,SDSS J010322.53-000439.7,0.276,DR14
